,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
0, CARIBE,CORALES DEL ROSARIO,MAYO,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17024,16287,17513,23445,25127,0
1, CARIBE,OLD PROVIDENCE,MAYO,2,0,2,0,1,1,1,1,2,1,1,0,1,1,1,2,2,1,2,0,1,1,1,1,1,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,597,597,505,669,0
2, CARIBE,SIERRA NEVADA DE SANTA MARTA,MAYO,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,25,33,62,0
3, CARIBE,MACUIRA,JUNIO,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,24,0
4, ANDES OCCIDENTALES,LOS NEVADOS,MARZO,4,3,2,1,0,0,0,2,4,3,2,1,0,0,0,2,4,3,1,0,0,0,0,1,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693,3443,3292,2330,2884,1700
5, ANDES OCCIDENTALES,OTUN QUIMBAYA,DICIEMBRE,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,81,187,184,0
6, ANDES OCCIDENTALES,OTUN QUIMBAYA,MAYO,2,0,1,0,0,0,0,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,2,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,345,321,203,305,0
7, CARIBE,MACUIRA,NOVIEMBRE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0
8, ANDES NORORIENTALES,TAMA,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9, PACIFICO,GORGONA,ENERO,2,1,1,0,0,0,0,1,1,1,1,0,0,2,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,4539,5105,4238,4046,3000,3639,4662,3724,5008,5889,5281,2967,3835,4021,291,246,246,235,136,154
