,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
0,DIRECCION TERRITORIAL CARIBE,PNN CORALES DEL ROSARIO,MAYO,17508,0,5,0,0,0,0,0,23445,0,0,0,0,0,0,0,25127,0,0,0,0,0,0,0,27057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17024,16287,17513,23445,25127,0
1,DIRECCION TERRITORIAL CARIBE,PNN OLD PROVIDENCE,MAYO,249,1,123,0,21,98,10,95,252,37,63,0,3,28,19,103,371,41,108,0,13,65,26,45,26,399,212,0,40,92,17,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,597,597,505,669,0
2,DIRECCION TERRITORIAL CARIBE,PNN SIERRA NEVADA,MAYO,1,17,7,0,0,0,0,0,2,27,4,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,25,33,62,0
3,DIRECCION TERRITORIAL CARIBE,PNN MACUIRA,JUNIO,0,0,0,0,0,0,0,7,44,0,3,0,0,0,0,0,13,0,11,0,0,0,0,0,39,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,24,0
4,DIRECCION TERRITORIAL ANDES OCCIDENTALES,PNN NEVADOS,MARZO,2063,792,204,19,0,0,0,214,1324,601,202,15,0,0,0,188,1798,975,59,0,0,0,0,52,961,635,73,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693,3443,3292,2330,2884,1700
5,DIRECCION TERRITORIAL ANDES OCCIDENTALES,SFF OTUN QUIMBAYA,DICIEMBRE,42,1,38,0,0,0,0,0,74,88,23,0,0,0,0,2,136,3,37,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,81,187,184,0
6,DIRECCION TERRITORIAL ANDES OCCIDENTALES,SFF OTUN QUIMBAYA,MAYO,158,0,12,0,0,0,0,151,43,48,20,0,14,22,2,54,100,28,10,0,0,0,0,167,210,202,11,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,345,321,203,305,0
7,DIRECCION TERRITORIAL CARIBE,PNN MACUIRA,NOVIEMBRE,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0
8,DIRECCION TERRITORIAL ANDES NORORIENTALES,PNN TAMA,MAYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DIRECCION TERRITORIAL PACIFICO,PNN GORGONA,ENERO,142,7,19,0,0,0,0,78,76,4,14,0,0,129,1,11,71,5,4,0,0,0,56,0,53,0,9,0,0,1,0,91,4539,5105,4238,4046,3000,3639,4662,3724,5008,5889,5281,2967,3835,4021,291,246,246,235,136,154
